代码,名称,总市值
1914,招商积余,111.59
2002,ST鸿达,17.98
2003,伟星股份,101.6
2004,华邦健康,92.28
2005,ST德豪,50.81
2006,精工科技,93.67
2009,天奇股份,94.18
2011,盾安环境,130.54
2012,凯恩股份,33.01
2014,永新股份,70.21
2016,世荣兆业,43.29
2017,东信和平,113.99
2018,华信退,5.92
2019,亿帆医药,94.03
2020,京新药业,106.5
2021,中捷资源,38.49
2022,科华生物,31.06
2023,海特高新,98.61
2024,ST易购,120.29
2026,山东威达,57.62
2029,七 匹 狼,75.19
2030,达安基因,96.56
2031,巨轮智能,137.78
2033,丽江股份,50.11
2034,旺能环境,96.7
2035,华帝股份,45.59
2036,联创电子,91.51
2037,保利联合,41.86
2038,双鹭药业,59.12
2039,黔源电力,89.23
2040,南 京 港,51.09
2041,登海种业,88.0
2042,华孚时尚,82.99
2043,兔 宝 宝,131.3
2045,国光电器,64.04
2047,*ST宝鹰,84.75
2051,中工国际,139.2
2052,同洲电子,82.24
2053,云南能投,112.51
2054,德美化工,33.41
2055,ST得润,35.52
2057,中钢天源,72.02
2058,*ST威尔,37.84
2059,云南旅游,46.1
2060,广东建工,59.23
2061,浙江交科,100.59
2062,宏润建设,110.33
2063,远光软件,115.32
2066,瑞泰科技,55.28
2067,景兴纸业,65.41
2068,黑猫股份,66.66
2069,獐子岛,26.42
2070,众和退,4.12
2071,长城退,1.63
2072,凯瑞德,25.98
2073,软控股份,66.92
2075,沙钢股份,100.04
2076,*ST星光,24.08
2077,大港股份,101.15
2079,苏州固锝,102.62
2082,ST万邦,121.99
2083,孚日股份,104.95
2084,海鸥住工,24.3
2086,东方海洋,30.68
2087,新纺退,1.31
2088,鲁阳节能,49.56
2089,新海退,2.85
2090,金智科技,45.11
2091,江苏国泰,147.83
2092,中泰化学,147.06
2093,国脉科技,85.84
2094,青岛金王,41.29
2095,生 意 宝,41.08
2096,易普力,137.56
2097,山河智能,108.12
2098,浔兴股份,30.79
2099,海翔药业,98.54
2100,天康生物,102.67
2101,广东鸿图,65.16
2102,ST能特,56.71
2103,广博股份,31.09
2104,恒宝股份,86.42
2105,信隆健康,24.38
2106,莱宝高科,77.54
2107,沃华医药,41.48
2108,沧州明珠,100.83
2109,ST兴化,40.07
2110,三钢闽光,83.8
2111,威海广泰,55.72
2112,三变科技,57.61
2113,*ST天润,4.0
2114,罗平锌电,29.88
2115,三维通信,112.83
2116,中国海诚,44.53
2117,东港股份,53.66
2118,*ST紫鑫,4.74
2119,康强电子,85.68
2121,科陆电子,98.61
2122,ST汇洲,57.25
2123,梦网科技,69.53
2124,天邦食品,55.42
2125,湘潭电化,94.55
2127,南极电商,60.84
2132,恒星科技,79.47
2133,广宇集团,25.25
2134,天津普林,73.45
2135,东南网架,96.24
2136,安 纳 达,32.75
2137,实益达,33.94
2139,拓邦股份,117.5
2140,东华科技,79.89
2141,贤丰控股,38.12
2143,印纪退,2.82
2144,宏达高科,18.9
2146,荣盛发展,53.59
2147,新光退,1.98
2148,北纬科技,36.53
2150,正泰电源,103.48
2154,报 喜 鸟,55.33
2159,三特索道,21.52
2160,常铝股份,49.68
2161,远 望 谷,51.85
2162,悦心健康,40.14
2163,海南发展,97.95
2164,宁波东力,65.2
2165,红 宝 丽,62.79
2166,莱茵生物,67.14
2167,东方锆业,101.9
2168,ST惠程,32.07
2169,智光电气,102.88
2170,芭田股份,105.08
2172,澳洋健康,28.69
2173,创新医疗,99.75
2174,游族网络,107.13
2175,*ST东智,34.73
2177,御银股份,51.77
2178,延华智能,40.71
2182,宝武镁业,140.73
2184,海得控制,29.28
2186,全 聚 德,32.34
2187,广百股份,42.26
2188,中天服务,18.27
2189,中光学,61.89
2190,成飞集成,119.1
2191,劲嘉股份,57.19
2193,ST如意,13.9
2194,武汉凡谷,64.32
2196,方正电机,70.82
2197,证通电子,43.84
2198,ST嘉应,23.14
2199,*ST东晶,30.6
2200,*ST交投,15.33
2201,九鼎新材,84.95
2204,大连重工,125.15
2205,国统股份,25.8
2206,海 利 得,62.78
2207,*ST准油,22.87
2208,合肥城建,131.38
2209,达 意 隆,22.04
2210,飞马国际,83.64
2211,ST宏达,16.43
2212,天融信,86.58
2213,大为股份,89.91
2214,*ST大立,90.56
2215,诺 普 信,83.43
2216,三全食品,89.03
2218,拓日新能,80.62
2219,新里程,76.56
2220,天宝退,1.72
2221,东华能源,112.34
2224,三 力 士,34.03
2225,濮耐股份,43.35
2226,江南化工,145.16
2227,*ST特迅,22.77
2228,合兴包装,46.68
2229,鸿博股份,85.81
2231,*ST奥维,1.85
2232,启明信息,72.8
2233,塔牌集团,104.19
2234,民和股份,24.75
2235,安妮股份,66.43
2238,天威视讯,58.27
2239,奥特佳,76.18
2242,九阳股份,82.8
2243,力合科创,102.23
2246,北化股份,124.74
2247,聚力文化,18.66
2248,华东数控,41.54
2250,联化科技,144.99
2251,步步高,86.31
2253,*ST智胜,24.86
2254,泰和新材,112.54
2255,海陆重工,71.33
2256,兆新股份,103.49
2258,利尔化学,99.09
2259,升达林业,43.18
2260,德奥退,2.36
2263,大东南,77.76
2264,新 华 都,55.53
2267,陕天然气,87.19
2268,电科网安,135.33
2269,美邦服饰,38.67
2272,川润股份,79.14
2274,华昌化工,58.15
2275,桂林三金,80.61
2276,万马股份,137.97
2277,友阿股份,85.04
2278,神开股份,35.97
2279,久其软件,61.82
2280,ST联络,7.42
2282,博深股份,34.49
2283,天润工业,116.33
2284,亚太股份,97.31
2285,世联行,65.97
2286,保龄宝,36.71
2287,奇正藏药,129.32
2288,*ST超华,2.98
2289,*ST宇顺,128.08
2291,遥望科技,58.14
2292,奥飞娱乐,81.94
2293,罗莱生活,96.21
2295,精艺股份,29.38
2296,辉煌科技,41.37
2297,博云新材,138.12
2298,中电鑫龙,73.94
2300,太阳电缆,77.07
2301,齐心集团,54.06
2302,西部建设,71.95
2303,美盈森,34.71
2305,*ST南置,41.27
2306,*ST云网,18.72
2307,北新路桥,54.92
2308,*ST威创,3.33
2309,中利集团,112.61
2310,东方新能,134.56
2313,日海智能,37.55
2314,南山控股,33.32
2315,焦点科技,82.71
2316,亚联发展,19.22
2319,乐通股份,23.46
2321,华英农业,43.96
2322,理工能科,41.92
2323,*ST雅博,27.35
2324,普利特,119.39
2325,*ST洪涛,5.44
2327,富安娜,37.02
2328,新朋股份,61.07
2329,皇氏集团,30.04
2330,得利斯,28.9
2331,皖通科技,39.98
2332,仙琚制药,86.84
2333,罗普斯金,35.46
2334,英威腾,66.74
2336,人乐退,1.58
2337,赛象科技,35.87
2339,积成电子,48.45
2341,ST新纶,7.02
2343,慈文传媒,28.75
2344,海宁皮城,57.4
2345,潮宏基,87.16
2346,柘中股份,79.87
2347,泰尔股份,41.44
2348,高乐股份,114.93
2349,精华制药,60.74
2350,北京科锐,88.28
2351,漫步者,56.8
2354,天娱数科,104.86
2355,兴民智通,40.43
2356,赫美集团,43.53
2357,富临运业,39.75
2358,森源电气,72.06
2359,北讯退,2.91
2360,ST同德,20.51
2362,汉王科技,39.17
2363,隆基机械,35.13
2365,永安药业,33.7
2366,融发核电,141.18
2367,康力电梯,49.5
2368,太极股份,105.56
2369,卓翼科技,41.45
2370,亚太药业,48.84
2373,千方科技,122.74
2374,中锐股份,34.29
2375,亚厦股份,60.03
2376,新北洋,57.3
2377,国创高新,30.97
2380,科远智慧,50.2
2381,双箭股份,21.15
2382,蓝帆医疗,72.21
2383,合众思壮,70.85
2385,大北农,133.9
2386,天原股份,85.5
2387,维信诺,116.76
2388,新亚制程,27.69
2390,信邦制药,63.62
2391,长青股份,29.66
2392,北京利尔,122.82
2393,力生制药,49.18
2394,联发股份,40.87
2395,双象股份,53.56
2397,梦洁股份,37.58
2398,垒知集团,30.54
2399,海普瑞,132.2
2401,中远海科,56.19
2403,爱仕达,33.73
2404,嘉欣丝绸,31.84
2406,远东传动,48.36
2411,必康退,9.5
2412,汉森制药,35.7
2417,深南退,1.06
2418,康盛股份,70.8
2419,天虹股份,61.71
2420,毅昌科技,27.77
2421,达实智能,59.1
2424,ST百灵,59.81
2425,凯撒文化,32.57
2426,胜利精密,132.36
2427,尤夫股份,55.53
2431,ST棕榈,32.26
2433,太安退,2.01
2434,万里扬,102.15
2435,ST长康,4.45
2437,誉衡药业,67.79
2438,江苏神通,81.16
2439,启明星辰,116.21
2440,闰土股份,98.04
2441,众业达,40.61
2442,龙星科技,29.86
2443,金洲管道,61.09
2445,中南文化,93.0
2446,盛路通信,94.19
2447,晨鑫退,2.71
2448,中原内配,90.79
2449,国星光电,50.1
2450,康得退,6.49
2451,摩恩电气,44.53
2452,长高电新,58.12
2453,华软科技,38.45
2454,松芝股份,59.12
2455,百川股份,66.02
2457,青龙管业,38.49
2458,益生股份,85.52
2462,嘉事堂,39.32
2464,众应退,1.36
2467,二六三,94.31
2469,三维化学,43.3
2470,金正大,96.93
2471,中超控股,115.98
2473,圣莱退,1.26
2474,榕基软件,42.68
2476,宝莫股份,36.23
2477,雏鹰退,3.37
2478,常宝股份,60.71
2479,富春环保,49.2
2480,新筑股份,49.82
2481,双塔食品,49.42
2482,广田集团,62.52
2483,润邦股份,56.57
2485,ST雪发,26.17
2486,嘉麟杰,23.38
2488,金固股份,114.64
2489,浙江永强,71.36
2490,山东墨龙,52.82
2492,恒基达鑫,30.67
2494,华斯股份,17.69
2495,佳隆股份,18.46
2496,*ST辉丰,27.76
2499,科林退,1.63
2501,*ST利源,49.65
2502,ST鼎龙,5.33
2503,*ST搜特,11.15
2504,*ST弘高,1.58
2505,鹏都农牧,22.95
2507,涪陵榨菜,141.66
2509,天茂退,3.2
2510,天汽模,67.73
2511,中顺洁柔,102.85
2512,ST达华,52.75
2513,蓝丰生化,19.05
2514,*ST宝馨,17.84
2515,金字火腿,79.77
2516,旷达科技,90.36
2519,银河电子,94.88
2520,日发精机,47.06
2521,齐峰新材,33.49
2522,浙江众成,69.96
2523,天桥起重,53.78
2524,光正眼科,22.47
2526,山东矿机,59.15
2527,新时达,71.35
2528,*ST英飞,51.04
2529,*ST海源,21.84
2530,金财互联,62.28
2533,金杯电工,88.51
2534,西子洁能,145.26
2535,林州重机,25.67
2537,海联金汇,85.47
2538,ST司特,57.24
2539,云图控股,128.31
2540,亚太科技,49.86
2541,鸿路钢构,100.72
2542,*ST中岩,32.71
2543,万和电气,54.25
2546,新联电子,68.18
2547,*ST春兴,34.25
2548,金新农,39.1
2549,凯美特气,128.92
2550,千红制药,66.45
2551,尚荣医疗,21.57
2552,宝鼎科技,123.3
2553,南方精工,55.8
2554,惠博普,46.14
2556,辉隆股份,54.75
2557,洽洽食品,111.35
2559,亚威股份,57.71
2560,通达股份,74.73
2561,徐家汇,32.37
2562,兄弟科技,47.67
2563,森马服饰,130.0
2564,天沃科技,52.82
2566,益盛药业,19.03
2567,唐人神,58.98
2568,百润股份,136.74
2569,*ST步森,23.02
2570,贝因美,55.4
2571,德力股份,35.2
2572,索菲亚,79.15
2573,清新环境,50.73
2574,明牌珠宝,30.04
2575,群兴玩具,41.37
2576,通达动力,30.7
2577,雷柏科技,48.92
2578,闽发铝业,35.48
2579,中京电子,78.29
2581,*ST未名,22.36
2582,好想你,41.38
2583,海能达,128.4
2584,西陇科学,37.85
2585,双星新材,77.86
2586,ST围海,50.57
2587,奥拓电子,38.46
2588,史丹利,89.21
2589,瑞康医药,43.02
2590,万安科技,61.57
2591,恒大高新,20.21
2592,ST八菱,20.99
2593,日上集团,29.37
2596,海南瑞泽,43.68
2597,金禾实业,134.21
2598,ST章鼓,23.32
2599,盛通股份,28.06
2604,龙力退,1.28
2605,姚记科技,68.9
2606,大连电瓷,71.34
2607,中公教育,148.01
2609,捷顺科技,39.78
2610,ST爱康,16.56
2612,朗姿股份,41.71
2613,北玻股份,32.8
2614,奥佳华,24.8
2615,哈尔斯,26.68
2616,长青集团,34.13
2618,丹邦退,6.9
2619,*ST艾格,8.02
2620,*ST瑞和,31.23
2621,*ST美吉,2.97
2622,皓宸医疗,23.44
